time_ms;rssi_unfiltered;rssi_kalman;rssi_median;distance_unfiltered;distance_kalman;distance_median;
12:16:18;-59;-59.0;-59.0;0.114504755;0.114504755;0.114504755;
12:16:19;-59;-59.0;-59.0;0.114504755;0.114504755;0.114504755;
12:16:22;-55;-57.8473;-59.0;0.06660846;0.09795299;0.114504755;
12:16:23;-63;-59.149456;-59.0;0.19684194;0.116846316;0.114504755;
12:16:26;-61;-59.579468;-59.0;0.15013108;0.12385395;0.114504755;
12:16:27;-61;-59.89226;-60.0;0.15013108;0.12921399;0.1311134;
12:16:27;-61;-60.1279;-61.0;0.15013108;0.13340451;0.15013108;
12:16:30;-58;-59.685173;-60.0;0.1;0.12563998;0.1311134;
12:16:34;-58;-59.339504;-59.0;0.1;0.11989315;0.114504755;
12:16:35;-58;-59.06723;-59.0;0.1;0.1155522;0.114504755;
12:16:38;-61;-59.457813;-60.0;0.15013108;0.12182986;0.1311134;
12:16:39;-61;-59.768307;-61.0;0.15013108;0.1270627;0.15013108;
12:16:43;-58;-59.41314;-61.0;0.1;0.12109489;0.15013108;
12:16:43;-59;-59.330288;-60.0;0.114504755;0.119743586;0.1311134;
12:16:47;-58;-59.063766;-58.5;0.1;0.115498014;0.1070069;
12:16:47;-58;-58.850777;-58.0;0.1;0.11221364;0.1;
12:16:48;-58;-58.6805;-58.0;0.1;0.109655246;0.1;
12:16:51;-77;-62.346073;-58.0;1.311134;0.1801571;0.1;
12:16:51;-77;-65.27772;-58.5;1.311134;0.26797917;0.1070069;
12:16:52;-76;-67.42258;-60.0;1.1450475;0.3583185;0.1311134;
12:16:55;-76;-69.13827;-60.0;1.1450475;0.45205596;0.1311134;
12:16:56;-75;-70.31071;-67.0;1.0;0.5298577;0.33838552;
12:16:59;-76;-71.44862;-75.5;1.1450475;0.6181523;1.070069;
12:16:59;-75;-72.15892;-75.5;1.0;0.68057764;1.070069;
12:17:00;-75;-72.72715;-75.5;1.0;0.7350264;1.070069;
12:17:03;-80;-74.18174;-76.0;1.9684196;0.8950907;1.1450475;
12:17:04;-81;-75.5454;-76.0;2.253934;1.0766697;1.1450475;
12:17:07;-77;-75.83633;-76.0;1.311134;1.1199424;1.1450475;
12:17:08;-77;-76.06906;-76.0;1.311134;1.1558087;1.1450475;
12:17:08;-77;-76.25525;-76.5;1.311134;1.1853269;1.2252798;
12:17:11;-79;-76.8042;-77.0;1.7190722;1.2768191;1.311134;
12:17:12;-78;-77.04336;-77.0;1.5013107;1.3188565;1.311134;
12:17:15;-82;-78.03468;-77.5;2.5808616;1.50838;1.4030037;
12:17:16;-81;-78.62775;-78.5;2.253934;1.634545;1.606506;
12:17:16;-80;-78.9022;-79.5;1.9684196;1.6964501;1.8395258;
12:17:19;-81;-79.32176;-79.5;2.253934;1.7956483;1.8395258;
12:17:20;-83;-80.05741;-79.5;2.9552093;1.9837857;1.8395258;
12:17:20;-81;-80.245926;-80.5;2.253934;2.0350912;2.1063447;
12:17:24;-84;-80.99674;-81.0;3.3838553;2.2529397;2.253934;
